,0
0,"1년에 한 번 밖에 없는 생일!🎉친구 생일 선물로 뭘 주면 좋을까?😆생일인 친구 소환!@___ 아, 너는 어떤 선물 받고 싶어?댓글로 남겨보자!친구 선물 고르기가 힘들다면지금 바로 핫!토킹어바웃 EP12편 확인해보기!👇▶https://youtu.be/He9lK0ivK7k (프로필링크 클릭)#선물추천 #생일선물 #친구선물추천#별돌이 #애인 #하나TV #핫토킹어바웃#함께성장하며_행복을나누는금융 #하나금융그룹"
1,"#수능100일 #응원합니다100일 앞으로 다가온 2024수능!🌟수험생 여러분의 빛날 미래를 위해하나금융그룹이 함께 응원합니다!💖마지막 100일간의 노력이 기적을 만들 수 있도록!포기하지 말고 힘내세요~😊[🎉 #EVENT]그동안 노력해온 수험생들을 위해혹은 수험생인 나를 위해응원의 메시지를 남겨주세요✏✔참여방법1. 하나금융그룹 인스타 팔로우+ 본 게시물 좋아요 클릭!2. 전하고 싶은 응원의 한마디를 댓글에 남겨주세요!✔ 기간: 2023. 8. 8(화) ~ 8. 16(수)✔ 경품: 스타벅스 ""행복한 기운"" 세트 (5명 추첨)✔ 발표: 2023. 8. 18(금) | 개별DM& 본 게시물 댓글※ 당첨자의 DM 차단으로 메시지 발신이 안될 경우 당첨에서 제외될 수 있습니다.※ 동일인이 여러 계정으로 중복 당첨된 경우, 1개를 제외한 나머지 당첨 건은 취소될 수 있습니다.※ 경품은 사전 공지없이 변경될 수 있습니다.#수능응원 #댓글이벤트 #EVENT #2024수능#수능 #대학수학능력시험 #별돌이#함께성장하며_행복을나누는금융 #하나금융그룹"
2,"#팔로우이벤트장마 끝…😁폭염 시작?😮더운 여름, 하나금융그룹 팔로우하면 별돌이가 시원한 아이스크림 줄게!🍧[🎉 #EVENT]✔ 참여방법하나금융그룹(@hanafn.official) 팔로우하고댓글에 “팔로우 완료!” 남기면 이벤트 참여 완료(* 본 게시물 좋아요 필수!)✔ 기간: 2023. 8. 3(목) ~ 8. 13(일)✔ 경품: 배스킨라빈스 파인트 아이스크림 (10명)✔ 발표: 2023. 8. 16(수) 개별DM& 본 게시물 댓글 발표※ 당첨자의 DM 차단으로 메시지 발신이 안될 경우 당첨에서 제외될 수 있습니다.※ 동일인이 여러 계정으로 중복 당첨된 경우, 1개를 제외한 나머지 당첨 건은 취소될 수 있습니다.※ 경품은 사전 공지없이 변경될 수 있습니다.#인스타그램팔로우 #팔로우 #이벤트 #별돌이#함께성장하며_행복을나누는금융 #하나금융그룹"
3,"열정을 다해 ESG 활동을 펼쳐온우리 인턴 용명쓰!🙋‍♂️12번째 미션을 끝으로 뜨거웠던 인턴생활이 마무리되었습니다.그동안 인턴 용명쓰를 사랑해 주신여러분께 감사드립니다! 💚""인턴용명쓰 EP.12""에서 이벤트가 진행 중이니,베스트 인턴 용명쓰의 활약상이 보고 싶다면?! 👉프로필 링크 <인턴용명쓰 몰아보기> 클릭! 😆P.S. 안녕은 영원한 헤어짐은 아니겠지요~~#인턴용명쓰 #김용명 #인턴 #인턴생활#신입사원 #ESG #별돌이#함께성장하며_행복을나누는금융 #하나금융그룹"
4,"안녕하세요, 하나금융그룹 회장 함영주입니다.DGB금융그룹 김태오 회장님의 지명을 받아마약 근절 캠페인 'NO EXIT(노 엑시트)' 캠페인에동참하게 되었습니다.최근 사회적으로 마약이 심각한 문제로대두된 만큼 마약 근절을 위해하나금융그룹 임직원을 비롯한우리 모두의 적극적인 관심과 참여가 필요합니다.이번 캠페인을 통해 마약과 금지약물에 대한경각심이 높아지는 계기가 되길 바랍니다.안전한 사회를 만드는 캠페인에여러분 모두가 동참해주시길 부탁드리며,다음 주자로 최현만 미래에셋 회장님께릴레이를 제안 드립니다.#마약근절캠페인 #노엑시트 #NO_EXIT#마약근절 #릴레이캠페인 #하나금융그룹"
5,"💚""영유아 부모님들은 꼭 기억하세요!""영유아 엄마, 아빠를 위한 아이 돌봄 공간! <하나맘케어센터> 1호점에 이어 2호점 OPEN! 🎉<하나맘케어센터>는 임신·출산·육아의 친화적 환경 조성을 위한‘2023 HANA 인생여정 지원 두번째 프로젝트’로, 하나금융그룹 내 관계사의 공간을 활용해 조성한 아이 돌봄 휴게실입니다. 임산부, 영유아 부모님이라면 누.구.나""무료""로 이용하실 수 있으니마음 편하게 아이 케어하고 쉬다 가세요~😚💞하나맘케어센터 시설 소개✔ 유모차 보관소✔ 임산부 휴식 및 영유아 수유실 2개실 (아기침대, 전동유축기 등)✔ 이유식존: 아기 이유식체어 비치✔ 기저귀갈이존: 기저귀시트지, 베이비워시, 로션, 물티슈 비치✔ 오픈 주방: 젖병세정제, 젖병솔, 젖병소독기, 아기 이유식 해동을 위한 전자레인지, 온수 사용이 가능한 정수기 구비✔ 냉난방 시스템, 공기 살균 등 쾌적한 환경 조성 및 유지🏫 1호점: 하나은행 야탑역금융센터 (2층) (경기도 성남시 분당구 야탑로81번길 16)🏫 2호점: 하나은행 수유역금융센터 (서울 강북구 도봉로 328)🏫 3호점: 하나은행 남가좌동지점 (서울특별시 서대문구 수색로 48)🏫 4호점: 하반기 중 검단신도시 지역 내 오픈 예정🕘 이용시간: 평일 09:00~16:00⠀저출산을 극복하고아이 키우기 좋은 환경을 만들기 위해하나금융그룹이 함께 노력하겠습니다.😊#하나맘케어센터 #임산부휴게실 #수유실#함께성장하며_행복을나누는금융 #하나금융그룹"
6,"아 시원하다…😇​​​​[🎉 #EVENT]시원한 여름을 보낼 수 있는 나만의 휴가지를 추천해주세요~​​​​자연을 좋아하는 별돌이는 ""계곡""💚❤️✔ 참여방법하나금융그룹(@hanafn.official) 팔로우하고댓글에 휴가지 추천하면 이벤트 참여 완료!(* 본 게시물 좋아요 필수!)✔ 기간: 2023. 7. 27(목) ~ 8. 6(일)✔ 경품: 배스킨라빈스 버라이어티팩 (5명 추첨)✔ 발표: 2023. 8. 9(수) 개별DM& 본 게시물 댓글​​​※ 이벤트 일정 및 경품은 당사 사정에 의해 변동 될 수 있습니다.※ 당첨자의 DM차단으로 연락이 불가능해 경품 발송이 어려운 경우 재발송되지 않습니다.#여름휴가 #휴가지추천 #휴가 #계곡#물아일체 #이벤트 #별돌이 #함께성장하며_행복을나누는금융 #하나금융그룹"
7,"#하나파워온세컨드라이프 #교육생모집 퇴직 후 재취업을 계획하고 계신다면?💁‍♀️교육부터 취업까지 한방에 성공하고 싶다면!전국 강소기업에서 역량을 발휘하고 싶다면!<하나 파워온 세컨드 라이프>로인생 2막을 준비하세요!💚🌟'하나 파워온 세컨드 라이프'란?신중년 경력인재 맞춤형 취업 프로그램을 통해신중년의 취업 역량 향상과 함께 새로운 일자리를 제공하는 하나금융그룹의 일자리 창출 프로그램입니다.✅ 신청기간- 강소기업 교육: 2023.7.26(수) 까지- 디지털일자리(라벨러) 교육: 2023.8.16(수) 까지✅ 신청대상- 지역 기업 및 지역 일자리로 취업을 희망하는  4050 신중년 (* 수도권 거주자에 한함 / 서울, 경기, 인천)🙌이런분들께 적극 추천 드립니다!※ 지역 성장기업에 취업하여 역량을 발휘하고 싶으신 분※ 고향에서 취업을 통해 금의환향하고 싶으신 분※ 교육에서 취업까지 한방에 취업하고 싶으신 분✅ 프로그램 특징* 하나금융그룹의 지원으로 !!전액 무료!!로 진행됩니다.* 신중년 경력인재가 전국 강소기업과 데이터라벨러로 취업 성공을 이루도록 지원합니다.* 스마트워크, 합격하는 이력서 작성, 모의면접 까지 취업력을 높입니다.* 직무역량교육 뿐 아니라 취업연계를 위한 개별코칭과 취업교육이 함께 진행됩니다.* 오프라인 수료시 교통비, 취업 성공시 취업 축하금을 지원합니다.✅ 모집공고 상세보기 (프로필 링크 클릭) https://www.hanapoweron.com/secondLife#하나파워온 #하나파워온 #세컨드라이프#함께성장하며_행복을나누는금융 #하나금융그룹 #Hanapoweron #신중년취업 #재취업"
8,"[#EVENT] 대전하나시티즌 스코어를 맞혀라! 🎊대전하나시티즌의 스코어를 맞히면총 1,000만 하나머니를 쏜다고?💸24라운드부터 33라운드까지총 10경기의 스코어를 예측해 주세요!🤔(경기일 자정까지 하나머니 가입 필수!)✅ 참여방법(‼️ 본 이벤트는 하나원큐 앱에서 진행되며,하나원큐 앱을 통해서만 참여 가능합니다.)- 24R~33R (총 10경기) 경기 시작 일주일 전부터경기 10분 전까지 매 경기 예측 스코어를 입력!※ 자세한 참여방법은 아래 링크 및 프로필 링크 필수 참조!👉 https://bit.ly/3NXkwzt✅ 기간: 2023. 07. 18(화) ~ 10. 08(일)✅ 대상: 하나원큐에 로그인한 만 14세 이상 손님✅ 경품: 매 경기 당 100만 하나머니 지급※ 예측 성공자가 복수인 경우,경기당 1백만 하나머니를 성공한 인원수만큼나누어 지급 (원단위 절사)✅ 당첨자발표- 매 경기 종료 후 하나원큐 내 '스코어맞히기'이벤트 페이지에서 익영업일 이내 발표※ 하나머니는 당첨자 발표 후 4영업일 이내경기일 자정 기준 하나머니 기가입자에게만 지급됩니다.#하나금융그룹 #하나은행 #대전하나시티즌#이벤트 #축구이벤트 #축구 #하나원큐#하나머니 #함께성장하며_행복을나누는금융 #하나금융그룹⛔유의사항[이벤트]- 본 이벤트는 만 14세 이상 손님만 참여 가능합니다.- 본 이벤트는 하나은행과 (주)에임브로드의 제휴로 진행됩니다. 양 사의 사정에 따라 이벤트 내용이 변경되거나 종료될 수 있습니다. (단, 기조건 충족 손님 제외)- 당첨 사실에 대해 당첨자가 거부 의사를 밝힌 경우 또는 당첨 취소 시 차순위 추첨은 진행하지 않습니다.- 경품은 타 경품 또는 타 제품으로의 교환 및 환불이 불가합니다.- 경품은 사정에 따라 동급의 다른 경품으로 변경될 수 있습니다.- 제세공과금 22%는 하나은행에서 부담합니다.- 스코어 맞히기 결과는 익영업일까지 발표됩니다. 하나머니는 발표 후 4영업일 이내 적립되며, 경기일 기준 하나머니 기가입자에게만 적립이 가능합니다.- 이벤트 일정은 하나은행 또는 K리그1 경기 사정에 따라 변경되거나 조기종료될 수 있습니다.- 특전 상품의 경우 경품 배송을 위해 하나은행에 등록된 연락처로 연락드릴 예정입니다. 이벤트 종료일로부터 2주 간 연락처 오류 등으로 연락 불가 시 당첨이 취소됩니다.[하나머니]- 하나머니란? : 즉시 현금으로 전환 가능한 하나금융그룹 포인트입니다. (1하나머니=1원)- 하나머니 서비스는 만 14세 이상부터 가입 가능합니다.- 당첨된 하나머니는 적립 시점에 하나머니 서비스 회원에 한해서만 적립이 가능합니다. (탈퇴회원, 휴면회원 등 적립 불가)- 하나머니는 하나카드가 운영하는 하나금융그룹 통합 멤버십 서비스인 하나머니 앱을 통해 간편결제, 무료송금, 현금인출이 가능합니다.- 하나머니 관련 자세한 사항은 하나머니 고객상담센터(1800-0000)로 문의 바랍니다.- 기타 이벤트에 관한 자세한 사항은 하나은행 고객센터(1599-1111)로 문의하시기 바랍니다.- 본 홍보물은 법령 및 내부통제기준에 따른 절차를 거쳐 제공됩니다.- 본 홍보물은 2023년 10월 8일까지 유효합니다."
9,"#성수국제공항 #팝업스토어 #트래블로그떠나봐! 성수국제공항으로✈뜨거운 열기에 힘입어 '트래블로그 팝업스토어'@성수국제공항을 7월 23일(일)까지연장 운영하기로 했습니다! 💚다양한 굿즈부터 포토 부스까지!여행의 즐거움, 미리 경험해보세요!💕📍기간: 2023.7.7(금)~7.23(일)📍시간: (주중) 12:00~21:00 (주말) 10:00~22:00📍장소: 성수동 쎈느#여행 #트래블로그 #TRAVLOG #popupstore#손흥민 #이도현 #안유진 #내편이하나생겼다#함께성장하며_행복을나누는금융#하나금융그룹 #하나은행 #하나카드"
