,content
0,📢IBK기업은행 직무별 필기 문제 모음!🤷금융일반직 필기 준비 어떻게 해야할까요?└ OO효과 관련 문제 꼭 보고 가세요🔍📝직무별 문제 확인하고기업은행 필기 한번에 합격하자!💙공기업 취업커뮤니티 공취사💙더 많은 공기업 채용정보가 궁금하다면?프로필 링크 누르고 공취사 카페 GO!
1,"개쩌는 라인업 공개되자마자 난리난 #힙합페스티벌‼️다듀,지코,로꼬,기리보이,빅나티,미노이,제시,효린, 릴러말즈,유토 까지!!한 자리에 모이기 쉽지 않은 화려한 라인업을IBK가 다 모았다네? 게다가 응모하면 입장권이 공짜임;;귀찮은 회원가입도 안 해도 응모 가능 ㄱㅇㄷ📌Tip))))IBK 기업은행 쓰는 사람들은 어플로 응모하면더 앞에서 보는 것도 쌉가능!!!!@@대박 힙째이들 집합!!!!!!!🤟🤟🤟자세한 내용은 @ibk_festival여기서 확인 가능!#입크 #페스티벌 #기업은행 #힙합 #콘서트"
2,진웅이 옴 ㅋㅋㅋ..#진웅이옴 #농협은행 #기업은행 #신조어 #조진웅 #권율 #귀엽넹 #너이쁘다 #유머 #예능 #웃자 #재미 #행복 #웃긴동영상 #유머동영상
3,저금을 해보았어요~!!#문평어린이집 #국공립어린이집 #문평동 #기업은행 #저금 #신탄진 #목상동 #사회서비스원
4,유명하고 경쟁률 높아도 일단 도전하는 것!- 기업은행 인턴 최종합격자로부터[출처] [은행권] 2023 기업은행 하계인턴 최종합격 후기입니다. (23.07.31)
5,[자격증보다 중요한 3가지 Why]- 은준생 여러분에게1. 왜 금융권인가2. 왜 우리은행인가3. 왜 나를 뽑아야 하는가[출처] [은행권] 2023 우리은행 일반 최종합격 후기(23.07.17)
6,"🔥스펭이가 알려드립니다🔥8월 2주차 🚩인기 공모전 리스트🚩⭐IBK 기업은행 대학생 예비작가 공모전 (~8/25)⭐ 한국경제신문 제8회 커피 29초 영화제 (~9/9)⭐ 중소기업중앙회 노란우산 삶의현장 사진 공모전 (~10/31)⭐ (주)더비젼시스템 치안현장 안전장비 IDEA 공모전 (~10/4⭐ (사)청년과 미래 제8회 청년정책 경진대회(~8/25)⭐ 서울디지털재단 메타버스 서울 3D 모델링 공모전 (~9/14)⭐ 한강유역환경청 아름다운 한강사진 공모전 (~9/28)⭐ 한국화학연구원 제1회 신약개발 AI 경진대회 (~9/25)공모전에 대한 더 자세한 정보는 스펙업 카페에서 확인해보세요!@specup_official슬기로운 대학생활&취업준비는 스펙업에서!스펙업의 정보가 도움이 되셨다면""팔로우+좋아요"" 부탁드립니다👀💙"
7,#kovo #코보컵 #도드람컵 #배구 #프로배구 #여자배구 #기업은행 #IBK #IBKALTOS #박민지 #박민지선수
8,"23.08.07주식계좌 자산현황총 10,818만원-K올웨더 포트폴리오-배당주식 스윙전략(리얼티인컴)<미국증시 현황>미국 3대지수 약보합 마감했다.(다우 -0.43%, 나스닥 -0.36%, S&P500 -0.53%)특히 지난주 발표된 고용보고서 결과 비농업 고용자수가 예상보다 낮게나와 달러약세와 금리 하락 영향으로 미증시는 상승출발했다.  나아가 아마존(+8.27%)등 실적 호전 기업들의 강세가 상승을 견인했다.그러나, 장 후반 차익실현 매물이 출회되며 하락했다.--<겨울잠 생각>투자의 귀재 워런버핏의 현재 현금 보유량이 1,470억 달러로 지난 최고치 1,490억 달러에 근접해있다. Sell in May 전략이 통상 들어 맞는 때는 본래 8월 이후였다. 다시 장기채권 가격이 급락하고 장기채 금리가 오르고있다. 특히 금리에 취약한 기술주도 당분간 고전을 면치 못할것 같다. 지난번 코로나 초기 하락 배팅으로 큰 돈을 벌었던 투자의 신 '빌 애크먼'도 조정을 예상하는 지 장기국채를 매도했다. 위기는 곧 기회인 만큼 매수 기회를 주면 현금을 보유하다 SPY, QQQ 같은 지수상품을 매수하는 것도 좋은 전략일 것 같다...............#금리 #금리인상 #국민은행 #한국은행 #하나은행 #기업은행 #신한은행 #자기계발 #자수성가 #배움"
9,.#IBK #기업은행 #포스터#저녁 에 #산책 할때마다 보는 #금융세상 ㅋㅋ#알록달록 #밤 에더 #눈 에 들어오는 #새로운세상 🤣.#일상생활 #Korea #Aya_love
10,IMG_20230818_101840_500
11,#리그램 - @artsro__official by @get_regrammer2023 IBK 입크 페스티벌누구보다 #입크하게 남들과는 다르게!입크 페스티벌에 아츠로가 함께합니다!🤘⠀#ZICO#DYNAMICDUO#LOCO#BIGNAUGHTY#JESSI#GIRIBOY#LEELLAMARZ#HYOLYN#MEENOI#JUTO⠀📌 IBK 입크 페스티벌- 9/16(토) 수원월드컵 보조경기장- 신청 : IBK기업은행 홈페이지에서 응모!(ibk.kr/입크페스티벌)- 응모기간 : 2023.8.1(화)~8.20(일)@ibk_festival ⠀#입크페스티벌 #IBK #기업은행#페스티벌 #뮤직페스티벌 #힙합페스티벌#지코 #다이나믹듀오 #로꼬 #제시 #빅나티#기리보이 #릴러말즈 #효린 #미노이 #유토#섭외 #아츠로
