,content
0,콜라 -> 맥주 -> 소주 각 10년단계 진화.#뱅커툰#은행#은행원#으냉원#하나은행#우리은행#신한은행#국민은행#농협은행#기업은행#새마을금고#신협#수협은행#시티은행#sc제일은행#부산은행#제주은행#전북은행#카카오뱅크#케이뱅크#광주은행#대구은행#경남은행#산업은행#SBI저축은행#ok저축은행#모아저축은행
1,"[홍파스] 벌써 2023년 하반기?!😮 이렇게 달라집니다!ㅤ하반기를 맞이해 수술실 cctv, 스토킹 범죄 등이번에 달라지는 주목할 만한 정책에 대해홍파스와 함께 살펴볼까요?🤗ㅤ*본 콘텐츠는 KDB산업은행 홍보 파트너스 6기가 직접 제작한 콘텐츠입니다.ㅤ#KDB산업은행 #산업은행 #KDB #2023년 #하반기 #정책 #소득공제 #cctv #스토킹 #위기청소년 #홍수 #홍파스 #홍보파트너스 #홍파스6기 #서포터즈 #대학생서포터즈"
2,2023/07/30 (일)✅뉴스 1 : 애플 주가 최고치 경신✅뉴스 2 : 산업은행 부산 이전✅뉴스 3 : 한국제품 수입 규제
3,"[취준생 Letter]- 최종면접을 앞둔 너에게최종면접은 '입행 의지를 얼마나 잘 보여줄 것인가?' 이 부분에 집중해서 자신감 있고 진솔하게 임하는 것이 좋다고 생각합니다. (당당하게 말하면 완전 틀린 답변이 아닌 이상, 면접위원 분들도 사실 잘 모릅니다. ^^)그리고 면접의 공통적인 단점은 '운'이 작용한다는 것입니다. 아무리 완벽하게 면접을 했다고 하더라도, 면접위원의 마음에 들지 않으면 탈락하는 것이 현실이어서 안타깝습니다.""나의 입행 의지는 그 누구보다 강한데 왜 떨어질까?""그저 운이 안 좋았을 뿐입니다. 최종 면접까지 올 정도면 자격이 매우 충분하신 겁니다. 절대로 자신을 자책하지 마세요.(그냥 욕하세요. ""아! 최종 면접 때 저 인간이 안경도 치켜올리고 노려보더니 점수 짜게 주었나 보다 천벌 받아라!"" 이런 식으로...?)이상 저의 최종 합격후기였습니다.글쓴이. RnaSia출처. [독금사] 2020 하반기 IBK기업은행 최종합격 후기"
4,오랫만에 칼퇴!!#당신의세금 #여의도 #산업은행#IFC #더현대 #더현대서울 #크리스마스 #크리스마스트리 #christmastree #christmas
5,매각을 앞둔 KDB생명이 최근 유상증자를 단행해 금융권의 관심이 모인다. 대주주인 산업은행은 새로 발행될 주식은 매각 대상이 아니기에 이번 증자로 우선협상대상자인 하나금융지주의 부담이 줄었다는 입장이다. 일각에선 산은이 매각을 위해 손실을 각오하면서 이번 증자를 결정했단 해석도 나온다. 하지만 산은이 지분을 계속 보유하다가 향후 KDB생명이 정상화되면 지분 처분으로 대규모 이익을 볼 수도 있다는 관측도 나온다.
6,어서오세요! 근데 코로나 때문에 딱히 환영하지 않는....#뱅커툰#은행#은행원#으냉원#하나은행#우리은행#신한은행#국민은행#농협은행#기업은행#새마을금고#신협#수협은행#시티은행#sc제일은행#부산은행#제주은행#전북은행#카카오뱅크#케이뱅크#광주은행#대구은행#경남은행#산업은행#SBI저축은행#ok저축은행#모아저축은행
7,창원산업은행 대청소 실시!!! 편의점 들렸다 구한 원소주!! 시작이 좋아~~~ #주식회사태광종합관리 #전국건물관리 #산업은행#창원#여수#광주#목포#부산#울산#대구#구미#전주#산업은행대청소실시
8,"#잼버리 ) '#질문 받지 않는다. 질문하지마라.' #이상민 #행정안전부 #장관 에게 질문하는 기자에게공공기관,공무원, #공기업 각각 인원 착출중 #태풍 으로 공무원,#소방#경찰  제일 바쁠상황일텐데, 그인원을 빼가네콘서트 인솔도 수당 없이 공공기관서 무차별 착출총체적 #개판 #윤석열 #국민의힘 #2찍#수도권 #한전 #산업은행 신용금고 농협 전원 착출 ㅋㅋㅋㅋㅋㅋㅋ.  8일 오전 갑자기 #공무원 들 '당일 소환'24 시간 근무하라는데 아무 지침 없어근무 내용·대기 장소 등 매뉴얼도 부재 #여성가족부 소집명령 국가 비상사태 태풍 카눈 상륙이 예보되며 갑작스레 ‘전국 잼버리’가 된 ‘ 2023  제 25 회 새만금 세계스카우트 잼버리’의 비상 대피로 인해 공무원들이 8일 오전 갑작스레 차출됐다는 제보가 이어지고 있다. 비상 차출 연락을 받은 공무원들은 어떠한 사전 연락이나 매뉴얼도 전달받지 못한 채 어정쩡하게 근무하고 있다고 전했다. 인터뷰 한 인천시청 소속 사업소에 근무하는 공무원 A씨는 8일 오전  10 시께 갑작스레 인천 송도에 위치한 연세대학교 #기숙사 에 비상 대기하라는 연락을 받았다. #인천시 공무원들과 인천시청 소속 사업소 등에서 근무하는 다수의 공무원들은 송도 기숙사에 잼버리 대원들이 숙박하게 되면서 갑자기 비상 대기 하라는 지시를 받았다. A씨는 “행정부시장이 송도 #기숙사 에 도착하기 때문에 오후 1시까지 모여야 한다는 연락을 받은 것”이라고 부연했다. 하지만 행정부시장은 이곳에 오후 1시에 모습을 보이지 않았다.------------------------------------근무내용, 대기장소, 매뉴얼 없는 근무정말 안전한 잼버리 맞아요?내일부터 태풍오면 어찌될까....."
9,"✨해양금융아카데미 참여후기✨_부산광역시, 부산경제진흥원에서 부산국제금융진흥원과 함께 “청년 NEXT10 지원사업”의 일환으로🐳 해양금융 인력양성 🐳 을 위하여 주최한🌈2023 해양금융 아카데미🌈 교육에 직접 참여하고 왔어요 🤍_5일간의 교육에 현직자 취업 특강까지 ! 거기다가 부산국제금융진흥원장 명의의 수료장까지 받았답니다 🥹_해양, 선박금융의 잠재력과 그 가능성을 직접 공부하며 부산금융중심지의 성장가능성을 더욱 실감할 수 있는 시간이었습니다 🤩_카드뉴스를 통해 얻은 해양금융 아카데미 참여후기가 유익했다면 !좋아요와 댓글 부탁드려요 🩵_부산국제금융진흥원 @kbfc.or.kr 부산금융중심지 서포터즈 2기"
