,content
0,"비록 작년에 조사한거지만 대한민국 월평균 소득🧡 여러분, 항상 감사합니다! 좋아요, 댓글, 팔로우 많이 부탁드립니다🧡☀️ 더 많은 즐거운 이야기는 👉🏻 @jero________ 👈🏻"
1,"머니머니해도 돈이 최고야(할쨕)💰며칠 전 예금 만기이자가 들어와서 기분이 좋아요🤑(물론 그대로 다시 예금 넣었지만요😁)물론 1억이 별거냐는 분들도 많겠지만, 그래도 흔한 경우는 아닌 것 같아서 그리게 되었어요🙂🧡다음 화를 빨리 보려면 👉 @oneway_toon#인스타툰 #일상툰 #일상툰연재 #그림일기 #공감툰 #재테크 #N잡러 #적금 #뱅크샐러드 #가계부 #카카오뱅크 #토스 #신한은행"
2,"🐧스펭이가 알려드립니다!5월 5주차 🔥인기 대외활동 리스트🔥📌신한은행 대학생 홍보대사 39기 모집(~7/17)📌LS그룹 LS 대학생 해외봉사 26기 모집(~6/6)📌포스코인터내션널 1:1 학습 멘토링 대학생 봉사단/홍보단 모집(~6/9)📌효성TNS NFTtown 서포터즈 타우니즈 1기 모집(~5/31)📌서울관광재단 2023 투어테이너 모집(~6/9)📌한국수자원공사 제17기 K-water 대학생 서포터즈 모집(~6/6)📌한국해양교통안전공단 SNS홍보 제2기 해수호 학생 기자단 모집(~6/6)대외활동들에 대한 더 자세한 정보는 스펙업 카페에서 확인해보세요!@specup_official슬기로운 대학생활&취업준비는 스펙업에서!스펙업의 정보가 도움이 되셨다면""팔로우+좋아요"" 부탁드립니다👀💙"
3,신한에스버드가 쏜다!!신한은행!!신입직원분들 위한 커피차 이벤트!!#미스타푸드트럭#엔터프라이즈미스타#신한에스버드#신한은행#기업행사#기업이벤트#직원복지#용인커피차#용인간식차
4,<そんしる先生の韓国便り㉙>#부산 #釜山#신한은행 #新韓銀行 이번에 한국에 온 이유 중에 일과 관련해서 가장 중요한 건 바로 은행 업무 보고 가는 거주말도 끼어 있고 내일은 또 광복절이라 휴일이다 보니 오늘밖에 시간이 없다.볼 수 있는 업무는 다 보고 가야 해서 정신이 없다😅
5,못들어가다가 두번째에 들어가게 해줘서 봤당ㅋ오빠들 봐서 좋은데 행사진행이.....참...!!팬심 이용당한 느낌#멜로망스#멜로망스김민석 #멜로망스정동환 #29초영화제#신한은행 #사랑인가봐
6,"“일렁이는 표면, 어둠을 걷다.” - 신한익스페이스-밝은 고을, 밝은 마을의 뜻을 가진 ‘명동’은 쇼핑, 관광업으로 밤낮 할 거 없이 활기를 띠는 동네였다. 한국 전쟁 이후 명동을 중심으로 금융회사와 상업시설이 자리 잡으면서 돈이 몰리기 시작했고, 국립극장이었던 명동예술극장에는 예술인도 모이면서 명동은 돈과 사람이 넘쳐흘렀다. 강남 개발과 함께 잠시 주춤하는 듯 보였지만, 한류 열풍에 힘입어 관광객까지 몰려든 명동은 전국 공시지가 상위 10위를 모두 싹쓸이할 정도로 한국에서 가장 비싼 땅, 이름에 걸맞게 가장 밝게 빛나는 땅이었다. 그렇게 밝았던 명동은 사드와 코로나 사태로 관광객이 빠져나가게 되면서 빛을 잃어갔다. 한류 열풍으로 상권이 살아날 때, 외국인만을 타겟하는 서비스 업종은 위험했다. 그때 대비하지 않았던 많은 상점은 문을 닫았고 거리는 폐허를 방불케 했다. 그런 상황에서 명동10길과 명동8길의 교차점에 면한 신한은행 명동 지점이 증, 개축을 통해 동네를 다시 밝게 비췄던 거다. -명동역 8번 출구에서 명동10길을 따라 들어가면 곡면 유리 파사드를 보게 된다. 단단한 재료를 일렁이게 하여 부드럽고 가벼워 보이도록 한 유리는 천을 연상케 한다. 천은 우리에게 너무나 익숙한 재료다. 상처 난 부위를 감싸 치유하고 포근한 이불에 기대어 휴식하며 주변을 가려 편안함을 준다. 커튼은 빛을 가려주지만, 유리는 빛을 투과하고 안을 보여준다. 유리를 천의 형상으로 하여 다른 성질을 가진 두 재료가 겹쳐 보이도록 했던 건, 무겁고 단단한 건축의 진입장벽을 낮추고 안을 개방시켜 사람들을 끌어모으기 위함이다. 신한은행 본점은 기업 건물로 일반인 출입이 불가능했지만, 지금은 모두의 공간으로 바뀌었다. 자유롭게 다양한 기업과 교류하며 새로운 사업 모델을 시험해보는 기술개발 공간을 마련하고, 금융교육센터를 두어 모든 세대가 금융 교육 체험을 할 수 있도록 했다. 옥상 또한 개방하여 높은 지가를 가진 땅에 올라 주변을 바라볼 수 있게 한다. 단단하고 무거운 건물이 형태 덕분에 부유하는 듯하다. 이는 건물을 오브제로 보이도록 하며 상징성을 갖게 한다. 주변 분위기를 환기하며 다른 건물과 구분 지으면서도 부드러운 형태로 거북하지 않게 다가온다. 낮에는 시시각각 변화하는 빛과 그에 따라 달라지는 공간의 모습을 담으며 밤에는 밖으로 빛을 내뿜어 주변을 밝힌다. 관광객이 아닌, 잠재 고객인 일반인을 위한 열린 공간이기에 어둠이 드리워지는 명동에서 신한 익스페이스가 가지는 의미는 크다. -리모델링 : 스튜디오인로코 ( @studio_in_loco ), 아뜰리에 김기준 ( @atelierkijunkim )사진, 글 : 신효근 ( @_hyogeun_ )-#좋은_경험을_주는_공간 -서울 중구 명동10길 52"
7,짱구X신한카드 콜라보 체크카드 나옴❤️@@짱구덕후들은 이거 무조건 신청 해야 함!!..#짱구 #짱구체크카드 #짱구카드 #신한카드 #은행 #체크카드 #체크카드추천 #신한 #신한은행 #교통카드 #짱구덕후 #신한짱구카드 #졸귀탱
8,4대 은행원 수천명 짐싼다...만 40세도 희망퇴직#희망퇴직 #은행희망퇴직 #국민은행 #우리은행 #농협은행 #신한은행 #퇴직 #금융 #기업 #경영 #경제 #비즈니스 #biz
9,#신한은행#협찬...감사합니다♡
