title,link,press,datetime,content
카카오페이머니로 스타벅스에서 결제하면 선착순 2000원 할인,https://n.news.naver.com/mnews/article/014/0005057624?sid=101,파이낸셜뉴스,2023.08.16. 오전 11:00,"[
카카오페이머니로 1만 원 이상 결제 시 2000 원 할인 8월 25일까지 오후 2시부터 마감시간까지 



 [파이낸셜뉴스] 카카오페이가 스타벅스에서 카카오페이머니로 결제하는 5만명에게 2000원 할인하는 이벤트를 오는 25일까지 개최한다고 16일 밝혔다.   이벤트 기간 중 오후 2시 이후 카카오페이 사용자가 스타벅스 매장에서 카카오페이머니로 1만 원 이상 결제하면 2000 원이 즉시 할인된다. 할인 행사 기간은 이날부터 25일까자로 선착순 5만 명 도달 시 이벤트는 조기 종료된다.   현재 전국 스타벅스 매장에 카카오페이 결제 서비스가 도입된 상태다. 카카오페이머니와 카카오페이포인트, 카카오페이에 등록된 카드 등 모든 수단으로 매장에서 결제할 수 있다. 이번 할인 이벤트는 공항 등 일부 특수 및 입점 매장을 제외한 전 지점에서 진행된다. 카카오페이 멤버십 서비스에 신세계 포인트 멤버십을 미리 연결해두면 스타벅스에서 결제할 때마다 별도 절차 없이 신세계 포인트가 0.1% 자동 적립되고, 이렇게 적립된 포인트는 매장에서 바로 사용 가능하다.   카카오페이는 “8월 무더위에 지친 사용자들이 스타벅스에서 시원하게 여름을 날 수 있도록 할인 이벤트를 마련했다”면서 “앞으로도 제휴사와 협력을 강화해 더욱 다양한 혜택을 만들어가겠다”고 말했다.
		]"
"수협은행, '이상거래 모니터링'으로 고령 고객 보이스피싱 피해 막았다",https://n.news.naver.com/mnews/article/016/0002183853?sid=101,헤럴드경제,2023.08.16. 오전 10:01,"[




[사진=수협은행][헤럴드경제=김현경 기자] Sh수협은행은 최근 '이상금융거래 상시 모니터링'을 통해 자녀 사칭 보이스피싱 범죄를 예방하고 고령 고객의 자산을 지켜냈다고 16일 밝혔다.수협은행 금융소비자보호본부 관계자에 따르면 이번 보이스피싱 사례는 고령의 고객을 대상으로 고객의 자녀를 사칭하며 메신저에 접속해 지정계좌로 송금을 유도했다.이 과정에서 금융감독원 지침에 따라 이상금융거래 상시 모니터링을 진행하던 수협은행은 해당 고객이 여러 은행에 나눠 보유 중이던 자산을 하나의 계좌에 여러 차례 분할 이체하는 이상거래 패턴을 포착했다.평소 고객의 금융거래 패턴과 확연히 다른 점을 확인한 수협은행 관계자는 대응 매뉴얼에 따라 즉시 고객 계좌에 대한 지급정지 조치를 시행했고 보이스피싱 여부 확인에 나섰다.그 결과 사기 행각을 벌인 용의자들은 중국 등 해외 IP를 통해 메신저에 접속했으며 자녀를 사칭하면서 송금을 유도하는 전형적인 메신저 피싱 범죄 조직인 것으로 드러났다.수협은행은 이처럼 적극적이고 선제적인 대응을 통해 보이스피싱 사기로부터 고객의 소중한 자산을 지켜내는 한편, 금감원을 비롯한 금융당국과 은행권에 용의자들의 범죄 수법을 널리 알려 또 다른 피해자가 발생하지 않도록 예방에 주력하고 있다.수협은행 관계자는 “나날이 진화하는 보이스피싱 사기 수법에 적극 대응하기 위해 수협은행은 이상금융거래탐지시스템(FDS)에 인공지능(AI)과 딥러닝 등 디지털 기술을 적용하는 고도화 프로젝트를 추진 중에 있으며 연내 마무리 지을 예정”이라며 “금감원 등과 협력해 보이스피싱 피해 사례를 분석하고 피해방지 대책을 마련하는 한편, 피해자 지원 등 금융소비자보호에 최선을 다하겠다”고 말했다.
]"
"연체에 충당금 늘린 카드사, 상반기 순익 13%↓",https://n.news.naver.com/mnews/article/648/0000018748?sid=101,비즈워치,2023.08.16. 오후 1:51,"[
8개 카드사 반기 순이익 1조4168억원이용액 늘었지만 조달비용 증가에 연체율 상승카드사들이 작년보다 못한 상반기 실적을 거뒀다. 8개 전업카드사가 거둔 올 상반기(1~6월) 당기순이익은 작년 같은 기간보다 2000억원 넘게 감소했다. 카드 이용 실적은 늘었지만 조달금리 상승으로 인한 이자 비용 증가와 연체율 상승으로 인한 대손충당금 적립 증가가 수익성에 악영향을 미친것으로 분석된다. 



신용카드사 실적 변화 /그래픽=비즈워치금융감독원은 신한·삼성·현대·KB국민·우리·하나·비씨·롯데카드 등 8개 전업카드사의 당기순이익(IFRS 기준)이 1조4168억원으로 집계됐다고 16일 밝혔다. 이는 전년 동기(1조6243억원) 대비 2075억원(12.8%) 줄어든 것이다. 총수익은 늘었지만 대손 비용과 이자 비용 증가한 것이 원인이다.상반기 중 신용·체크카드 이용액은 558조5000억원으로 전년 동기(518조6000억원) 대비 39조9000억원 증가했다. 신용카드와 체크카드 개별로 살펴보면 각각 1년 전보다 35조4000억원, 4조5000억원 증가한 461조4000억원, 97조1000억원으로 나타났다.카드대출 이용액은 50조8000억원으로 5.9%(3조2000억원) 줄었지만, 카드대출 잔액은 45조3000억원으로 2.5%(1조1000억원) 늘었다.상반기 전업카드사의 총자산이익률은 1.41%로 전년 동기(1.55%) 대비 0.14%포인트 하락했다. 다만 이는 최근 5개년 상반기 평균(1.36%) 보다는 높은 수준이었다. 카드사 연체율(총채권 기준)은 1.58%로 전년 말(1.20%) 대비 0.38%포인트 상승했다. 신용판매 연체율은 0.87%로 지난해 말보다 0.22%포인트 상승했고, 카드대출 연체율은 3.67%로 0.69%포인트 올랐다.개별사로 살펴보면 업계 1위 신한카드의 상반기 순이익은 3169억원으로 작년 같은 기간(4127억원)보다 23.2% 감소했다. 삼성카드의 상반기 순이익은 2906억원으로 전년동기(3159억원) 대비 8% 줄었다. KB국민카드와 우리카드의 상반기 순이익은 1929억원, 819억원으로 전년동기대비 각각 21.5%, 38.7% 감소했다. 하나카드의 경우 전년동기대비 38.8% 감소한 726억원이었다. 비씨카드 또한 상반기 순이익이 306억원으로 전년 동기(1082억원) 대비 71.72% 감소했다.선방한 곳도 있다. 롯데카드의 상반기 순이익은 3060억원으로 전년 동기(1772억원)보다 72.7%가 늘었다. 현대카드 순이익도 1572억원으로 작년 동기보다 1% 늘었다.카드업계의 순익 감소는 연체율 급등을 우려해 대손충당금 규모를 늘린 영향이 크다. 총수익은 작년 동기보다 1조5794억원 증가했지만 대손비용은 작년 동기 대비 5262억원, 이자 비용은 6928억원 증가해 총비용이 1조7869억원 증가했다.8개 전업카드사의 대손충당금 적립률은 106.4%로 전년 말(106.7%)과 유사한 수준이며 모든 카드사가 100%를 상회했다.금감원은 ""신용카드 대출 미사용약정에 대한 대손준비금 환입액 증가 등으로 '대손준비금 환입 후 당기순이익'은 전년(1조3695억원) 대비 6364억원(46.5%) 증가한 2조59억원""이라고 설명했다.앞서 금융당국은 한도성 여신의 미사용액에 대해선 의무적으로 충당금을 적립하도록 여신전문금융업 감독규정을 개정해 올 1월부터 시행 중이다. 개정된 감독규정에 따르면 신용카드 한도성 여신 신용환산율은 50%에서 40%로 하향 조정됐다.금감원은 ""올해 상반기 중 카드사 순이익(IFRS 기준)은 전년 동기 대비 감소했지만, 예년 수준을 유지하는 등 전반적으로 양호한 수준""이라며 ""연체율은 전년 말보다 소폭 상승했으나 2분기 중 상승 폭이 둔화되는 추세이고 자본 적정성도 개선되는 상황""이라고 설명했다.이어 ""카드사들이 부실채권 매각, 채무 재조정 등을 통해 자산건전성 관리에 집중하도록 할 것""이라며 ""여전채 발행시장 및 카드사 유동성 상황 등에 대한 모니터링을 지속하면서 필요시 선제적으로 대응할 계획""이라고 말했다.
]"
中 금융불안에 파랗게 질린 증시…환율은 1340원 '터치'(종합),https://n.news.naver.com/mnews/article/003/0012034570?sid=101,뉴시스,2023.08.16. 오후 5:21,"[
코스피 1.76%·코스닥 2.59% '뚝'원·달러 환율 석달만에 1340원 '노크'증시 단기간 조정 불가피 할듯



[서울=뉴시스] 최진석 기자 = 코스피가 전 거래일(2570.87)보다 45.23포인트(1.76%) 하락한 2525.64에 장을 종료한 16일 서울 중구 하나은행 딜링룸에서 딜러들이 업무를 보고 있다. 코스닥은 전 거래일(901.68)보다 23.39포인트(2.59%) 내린 878.29에 거래를, 서울 외환시장에서 원·달러 환율은 전 거래일(1330.9원)보다 6원 상승한 1336.9원에 마감했다. 2023.08.16. myjs@newsis.com[서울=뉴시스]남주현 기자 = 중국 경제 불안이 확산되며 우리나라 금융시장이 요동쳤다. 대형 부동산 개발업체 비구이위안(컨트리가든)이 디폴트(채무불이행)에 직면하자 코스피에서는 기관의 '팔자' 행렬이 이어졌고, 원·달러는 장중 한때 1340원대까지 치솟으며 출렁였다.16일 유가증권시장은 전거래일(2570.87)보다 45.23포인트(1.76%) 하락한 2525.64에 장을 마쳤다. 4거래일 내림세다. 20.74포인트(0.81%) 내린 2550.13에 출발한 코스피지수는 점차 낙폭을 확대하며 내리막을 보였다. 개인이 3303억원어치 순매수했지만 지수 하락을 방어하기에는 역부족이었다. 이날 코스피 시장에서 기관과 외국인은 각각 3606억원, 14억원어치를 내다 팔았다.코스닥지수는 전 거래일(901.68) 대비 23.39포인트(2.59%) 떨어진 878.29에 거래를 마치며 5거래일 만에 다시 800선대로 물러났다. 7.75포인트(0.86%) 내린 893.93에 거래를 시작한 코스닥은 장중 하락폭을 더 키운채 마감했다. 하락세를 주도한 건 외국인이다. 코스닥 시장에서 외국인이 1609억원 어치를 팔아치웠다. 반면 기관과 개인은 각각 1199억원과 583억원치를 사들였다. 증시 부진은 중국 경기 지표 부진에 부동산 개발업체 부실까지 겹치며 안전자산 선호도가 강해진 영향이 크다. 중국 경기 위축이 우리 경기 수출 회복 지연 경계감으로 작용했다는 분석이다. 중국 해관총서(관세청)에 따르면 7월 중국 수출 규모는 전년동월대비 14.5% 감소했다. 로이터 전망치 -12.5%를 하회한 수치다. 수입은 -12.4%로 로이터 전망치(-5.0%)를 크게 밑돌았다.내수도 부진하다. 중국의 7월 소매판매는 전년 대비 2.5% 증가했다. 블룸버그가 예상한 전망치(4.0%)를 크게 밑돈다. 산업생산도 전년 동기대비 3.7% 늘어나는 데 그쳤다. 시장 전망치(4.3%)에 못 미친 데다 3~6월에 비해서도 둔화했다. 김석환 미래에셋증권 연구원은 ""중국 경기 둔화로 안전자산 선호 심리가 강화됐다""며 ""위축된 투자 심리에 실적 민감도가 상승하며  2차전지와 제약, 의류 등이 약세를 보였고, 중국발 기대감이 유입됐던 화장품과 여행주는 차익 매물이 출회됐다""고 설명했다. 안전자산 선호는 아시아 각국 증시에도 악재로 작용했다. 닛케이225지수(닛케이 평균주가)는 전 거래일 대비 472.07포인트(1.46%) 떨어진 3만1766.82로 장을 마감했다.  6월8일(3만1641) 이후 2개월만에 최저치다. 중국 상하이종합지수는 26.05포인트(0.82%) 하락한 3150.13, 선전성분지수는 100.17포인트(0.94%) 하락한 1만579.56으로 장을 마쳤다.환율도 치솟았다. 중국 발 금융 위기에 따른 안전자산 선호 심리가 강해진데 다, 미국 경기 지표 호조는 달러에 힘을 보탰다. 원·달러는 전거래일(1330.9원)보다 6원 오른 1336.9원에 거래를 마쳤다. 전거래일 대비 9.1원 오른 1340원으로 거래에 나선 원·달러는 오전 내내 1340원대에서 움직이다 오후 들어 상승폭을 일부 반납했다. 종가 기준으로 원·달러가 1340원을 돌파한 것은 지난 5월2일 1342.1원 이후 3개월 만에 처음이다. 미국 상무부는 15일(현지시각) 7월 소매 판매가 전월보다 0.7% 증가하면서 4개월 연속 증가세를 유지했다고 밝혔다. 최근 6개월간 가장 큰 증가 폭으로 월스트리트저널(WSJ)이 집계한 전문가 전망치(0.4% 증가)를 뛰어넘는 수치다. 여기에 닐 카시카리 미니애폴리스 연은 총재는 추가 긴축이 필요할 수 있다고 발언하며 달러 강세에 불을 지폈다. 이에 따라 6개 통화 대비 달러 가치를 의미하는 달러인덱스는 이날 오후 4시 22분 현재 103.05를 기록 중이다. 한달 전인 7월 17일 기록한 99.84에 비해 3포인트 이상 높아졌다. 원화약세에는 위안화 평가절하 악재도 더해졌다. 이날 오후 중국 달러·역외위안화 환율은 전거래일보다 0.16% 상승한7.29위안을 기록하며 약세를 보이고 있다. 이는 2007년 이후 16년래 최저다. 엔·달러 환율도 1달러당 145엔 대에서 움직이고 있다. 문정희 국민은행 연구원은 "" 최근 중국 부동산 개발업체들의 연이은 파산 위험이 부각되고, 고용 부진과 소비 위축 등 경기침체 양상을보이고 있다""면서 ""위안화 약세로 아시아 통화가 대부분 약세를 보이며 위험 신호로 해석되고 있다""고 말했다.중국 경제 불안에 따른 여파는 당분간 환율과 증시 등 우리나라 금융시장에 악재로 작용할 것으로 보인다. 다만, 원·달러는 8월 들어 계속해서 상승세를 보여왔다는 점에서 추가 상승은 제한적일 것으로 전망된다. 황세운 자본시장연구원 연구위원은 ""중국 경제에 대한 우려가 급부상하면서 중국 의존도가 높은 국가를 중심으로 주가 하락과 환율 상승을 보였다""고 분석했다.이어  ""다만 환율은 그동안 상승세가 뚜렷한 만큼  가격에 어느정도 반영이 됐다는 점에서 단기 고점 영역으로 판단하고, 증시는 변동성이 완화될 때까지 일정기간 추가적인 조정이 이어질 가능성을 열어놔야 한다""고 말했다.
]"
수출금융 종합지원 방안 관련 간담회,https://n.news.naver.com/mnews/article/421/0006991961?sid=101,뉴스1,2023.08.16. 오전 10:28,"[




(서울=뉴스1) 이재명 기자 = 김주현 금융위원회 위원장을 비롯한 은행장들이 16일 오전 서울 중구 은행연합회에서 열린 수출금융 종합지원 방안 관련 간담회에서 기념 촬영을 하고 있다. 2023.8.16/뉴스1
		]"
"""50년 만기 주담대 DSR규제 우회""… 금융위의 경고",https://n.news.naver.com/mnews/article/029/0002819682?sid=101,디지털타임스,2023.08.16. 오후 6:50,"[
			김주현 금융위원장이 16일 가계대출 증가의 요인으로 지목되는 50년 만기 주택담보대출(주담대)에 연령 제한을 두는 방법에 대해 ""공감하며 보고 있다""는 입장을 밝혔다. 금융권에서는  나이 상한선으로 '만 34세'가 거론되고 있다. 김 위원장은 또한 ""(금융권이) 대출한도를 늘리기 위해 50년 만기 대출을 사용하거나 비대면 주담대 과정에서 소득확인을 제대로 하지 않고 있다""고 강하게 비판했다. 주담대는 이달들어 열흘 만에 1조원 이상 늘어나는 등 가계 대출 증가를 견인하고 있다. 특히 은행들이 앞다투어 내놓고 있는 '50년 주담대'가 총부채원리금상환비율(DSR) 규제 우회 수단으로 활용되고 있다는 지적이 나오고 있다.김 위원장은 이날 '수출금융 종합지원 방안' 간담회에서 ""오늘 (간담회) 주제인 수출지원과 직접 관련은 없지만 은행장님들이 모인 만큼 가계부채 등 우리 경제의 구조적 리스크에 대한 관심을 당부드린다""며 이같이 말했다.  이 자리에는 시중은행·지방은행 은행장들이 모두 참석했다. 김 위원장은 간담회 후  기자들과 만나 ""4월부터 주담대가 증가하고 있는데 (초장기 만기 주담대가) 어떤 연령대에서 어떤 목적으로 쓰고 있는지 종합적으로 본 뒤 어느 정도까지 용인할지 판단할 수 있다""고 설명했다.금융당국은 '50년 주담대'가 DSR 규제 우회 수단으로 활용되자 만 34세 미만으로 연령을 제한하는 방안 등을 검토하고 있는 것으로 알려졌다. 다만 김 위원장은 ""아직 (구체적인 규제 방향은) 결정된 게 없다""고 말했다.가계부채 증가세에 대해서는 ""재정을 풀거나 부채로 소비를 유도하는 게 제일 쉬운 방법인데 결국 상환 문제가 남기 때문에 과도하게 부채가 늘어나는 건 좋지 않다""며 ""다만 자산소득이 높지 않은 취약계층은 경기회복이 지연되면 연체율이 높아질 수밖에 없는데 갑자기 가계대출을 줄이면 또 어려워져 적정 수준에서 한도를 관리해야 한다""고 설명했다. 김 위원장은 '50년 주담대'와 마찬가지로 가계대출 확대의 주범으로 지목되는 정책모기지상품 '특례보금자리론'에 대해서는 ""특례보금자리론은 1주택자가 대상인 상품으로 젊은층의 생활 안정화를 위한 것""이라며 ""그것(특례보금자리론) 때문에 부채가 늘어난 건 맞지만 그것도 안 한다면 젊은 분들이 힘들어질 것""이라고 말했다.  이어 ""특례보금자리론은 연간 목표치에 거의 차고 있고, 금리는 시장금리 등을 고려해 조정될 것""이라고 전했다.



김주현 금융위원장이 16일 서울 중구 은행회관에서 '수출금융 종합지원 방안'을 논의하기 위한 은행장 및 정책금융기관장과의 간담회를 주재하고 있다. 오른쪽은 강석훈 산업은행 회장. [연합뉴스]    
]"
“나같은 10년차 직장인의 연봉과 자산은 얼마일까?”,https://n.news.naver.com/mnews/article/018/0005552063?sid=101,이데일리,2023.08.16. 오전 10:07,"[
핀크 리얼리, 커리어와 자산 소통 서비스로 개편타인의 금융, 커리어 보며 실증적인 자가 점검



[이데일리 정두리 기자] 핀크는 직업과 연차 등 비슷한 커리어 조건을 가진 사람들을 연결하고, 이들이 서로의 연봉과 자산을 비교·관찰하면서 성공적인 생애설계를 할 수 있도록 금융SNS ‘리얼리’를 전면 개편했다고 16일 밝혔다.리얼리는 기존에는 예적금, 투자 등에 국한된 금융 정보만 불러왔다면, 이번 개편을 통해 공공마이데이터를 연계해 인증된 연봉과 경력 정보를 도입했다. 이를 기반으로 직업·연차 등 비슷한 조건을 지닌 익명의 사람들이 서로의 데이터를 보며 소통하고 경쟁하는 환경을 조성해 실증적인 자가 점검과 재무계획 수립 및 실현을 도울 계획이다.우주 컨셉으로 새 단장한 리얼리에선 마이데이터로 등록한 자산규모에 따라 나눠진 행성에 배정된다. 배정된 행성에선 본인의 자산 순위는 물론 다른 사람들의 자산랭킹, 연령대, 직업, 연봉 등의 정보를 실시간으로 볼 수 있으며, 다음 행성 진입을 위한 필요 금액도 그래프로 제공돼 자산 형성을 향한 동기를 유발한다.또한 직업, 연봉, 근무지 등 다양한 기준별 연봉랭킹 또는 자산랭킹을 확인할 수 있다. 이를 통해 본인의 상황을 다각도로 평가하고 실질적인 커리어 계획 및 자산 목표를 세울 수 있다. 예컨대 본인이 판교 개발자라면 개발직군에서 내 연봉 수준, 나랑 비슷한 조건의 사람들이 모은 자산 정보, 판교 직장인 중 내 연봉 등수 등을 살펴볼 수 있다. 공개되는 모든 정보는 유저 동의 하에 제공되며, 리얼리는 이용자를 특정할 수 없도록 별명(익명성) 기반으로 운영돼 안심하고 이용할 수 있다.아울러 관심있는 사람의 프로필을 팔로잉하면, 그 사람의 커리어와 자산 정보를 한 눈에 모아보고 참고할 수 있다. 현재는 직장인만 이용이 가능하며, 추후 공무원과 자영업자, 취업준비생 등도 이용할 수 있도록 할 예정이다.조현준 핀크 대표는 “연봉, 자산을 시작으로 소비, 투자, 부동산 등 다양한 정보를 공유할 수 있는 금융 라이프 서비스로 발전해 집단에서의 본인의 위치를 가늠하고, 중요한 정보를 나누며 함께 성장할 수 있는 서비스가 될 것이라고 밝혔다.
]"
"BNK경남은행, 연 최대 6.75% 금리 'ESG 실천' 적금 출시",https://n.news.naver.com/mnews/article/008/0004925831?sid=101,머니투데이,2023.08.16. 오후 2:25,"[




BNK경남은행이 오는 17일부터 고객과 함께하는 ESG경영을 실천하고자 금융상품인 'BNK 위더스(With-Us) 자유적금'을 출시한다고 16일 밝혔다.BNK 위더스(With-Us) 자유적금은 가족, 연인, 친구 등이 함께 가입하거나 다양한 ESG를 실천하면 우대금리를 제공하며 상생금융 실천을 위해 출시한 금융상품이다.우대금리 제공 조건은 △신규고객(0.50%p) △공동가입(1.50%p) △ESG실천[기부·봉사·헌혈 등](0.50%p)으로 모두 충족 시 최대 2.50% 우대금리가 제공된다.특히 오는 11월 30일까지 진행되는 '우리함께해요 대고객 이벤트' 기간에는 △ESG실천[기부·봉사·헌혈 등] 조건의 우대금리가 0.50%p에서 1.50p로 인상된다. 이벤트 기간에 가입한 고객이 모든 조건 충족 시 가입 기간별로 최고 연 6.00%(6개월 미만), 6.25%(6~12개월 미만), 6.55%(12~24개월 미만), 6.65%(24~36개월 미만), 6.75%(36개월) 금리를 받을 수 있다. 예를 들어, 이벤트 기간 내 12개월 만기로 가입하게 되면 3.05%의 기본금리에 최대 3.5%의 우대금리를 받는 셈이다.가입 금액은 매월 1만원부터 100만원까지며, 가입기간은 1개월부터 36개월까지 월 단위로 설정할 수 있다.최종 누적 판매좌수 2만좌 이상 달성 시 최고 2000만원을 지역 취약계층을 위해 기부한다. 또 가입 고객을 대상으로 추첨을 통해 4000명에게 모바일 커피 쿠폰을 지급한다.신태수 경남은행 고객지원본부 부행장은 ""BNK 위더스(With-Us) 자유적금은 상생의 중요성을 일깨우고 고객과 BNK경남은행이 언제나 함께한다는 의미가 내포된 시그니처 적금상품""이라고 말했다. 
]"
"""10년차 직장인 연봉은 얼마?"" 핀크, 리얼리 개편… 타인과 자산 비교",https://n.news.naver.com/mnews/article/417/0000942377?sid=101,머니S,2023.08.16. 오후 1:46,"[




사진=핀크 핀크는 직업과 연차 등 비슷한 커리어 조건을 가진 사람들을 연결하고 이들이 서로의 연봉과 자산을 비교하고 관찰하면서 성공적인 생애설계를 할 수 있도록 금융SNS '리얼리'를 전면 개편했다고 16일 밝혔다.개편 전에는 예적금, 투자 등에 국한된 금융 정보만 불러왔다면 새로워진 리얼리는 공공마이데이터를 연계해 인증된 연봉과 경력 정보를 도입했다.이를 기반으로 직업·연차 등 비슷한 조건을 지닌 익명의 사람들이 서로의 데이터를 보며 소통하고 경쟁하는 환경을 조성해 실증적인 자가 점검과 재무계획 수립과 실현을 도울 계획이다.우주 콘셉트인 리얼리에선 마이데이터로 등록한 자산규모에 따라 나눠진 행성에 배정된다. 배정된 행성에선 본인의 자산 순위는 물론 다른 사람들의 자산랭킹, 연령대, 직업, 연봉 등의 정보를 실시간으로 볼 수 있으며 다음 행성 진입을 위한 필요 금액도 그래프로 제공돼 자산 형성을 향한 동기를 유발한다.또한 직업, 연봉, 근무지 등 다양한 기준별 연봉랭킹 또는 자산랭킹을 확인할 수 있다. 이를 통해 본인의 상황을 다각도로 평가하고 실질적인 커리어 계획 및 자산 목표를 세울 수 있다. 예를 들어 본인이 판교 개발자라면 개발직군에서 내 연봉 수준, 나랑 비슷한 조건의 사람들이 모은 자산 정보, 판교 직장인 중 내 연봉 등수 등을 살펴볼 수 있다.공개되는 모든 정보는 유저 동의 하에 제공되며 리얼리는 이용자를 특정할 수 없도록 별명(익명성) 기반으로 운영된다.아울러 관심있는 사람의 프로필을 팔로잉하면 그 사람의 커리어와 자산 정보를 한 눈에 모아보고 참고할 수 있다. 내가 주도적으로 사람을 탐색해 금융 롤모델을 선택해 더 나은 금융 라이프를 설계할 수 있도록 돕는다는 게 회사 측 설명이다.현재는 직장인만 이용이 가능하며 추후 공무원과 자영업자, 취업준비생 등도 이용할 수 있도록 할 예정이다. 조현준 핀크 대표는 ""타인의 경험 및 노하우에 기반한 금융 및 커리어 데이터로 자신을 점검하고 자산 목표를 설정하도록 도와 고객들의 금융 생활 개선을 이끌 것""이라며 ""연봉, 자산을 시작으로 소비, 투자, 부동산 등 다양한 정보를 공유할 수 있는 금융 라이프 서비스로 발전해 집단에서의 본인의 위치를 가늠하고 중요한 정보를 나누며 함께 성장할 수 있는 서비스가 될 것""이라고 말했다.
]"
"檢, '금품수수 혐의' 박차훈 새마을금고회장 구속영장 재청구",https://n.news.naver.com/mnews/article/003/0012034715?sid=101,뉴시스,2023.08.16. 오후 6:54,"[
지난 8일 구속영장 기각된 지 일주일만檢 ""사안 중대하고 증거인멸 우려 크다""



[서울=뉴시스] 정병혁 기자 = 검찰이 새마을금고 사모펀드 출자 과정에서 금품을 수수한 의혹을 받는 박차훈(66) 새마을금고중앙회 회장의 신병확보에 재차 나섰다. 사진은 지난 8일 오후 서울 송파구 서울동부지방법원에서 열린 영장실질심사(구속 전 피의자 심문)에 출석하고 있는 모습. 2023.08.08. jhope@newsis.com[서울=뉴시스]박광온 기자 = 검찰이 새마을금고 사모펀드 출자 과정에서 금품을 수수한 의혹을 받는 박차훈(66) 새마을금고중앙회 회장의 신병확보에 재차 나섰다.16일 검찰에 따르면, 서울동부지검 형사6부(부장검사 서현욱)는 전날 특정경제범죄가중처벌법상 수재 혐의를 받는 박 회장 구속영장을 재청구했다. 지난 8일 구속영장이 기각된 지 일주일 만이다.검찰 관계자는 ""보완 수사를 했고, 사안이 중대하고 증거인멸 우려가 큰 점, 다른 사건과 형평성을 고려했다""며 재청구 사유를 밝혔다.박 회장에 대한 구속 전 피의자 심문(영장실질심사)은 오는 17일 오후 2시30분 서울동부지법에서 열린다.박 회장은 2018년 중앙회장 당선 목적으로 금품을 돌린 혐의(새마을금고법 위반)로 재판을 받았는데, 당시 변호사 비용 수천만원을 새마을금고로부터 거액의 출자를 받은 사모펀드가 대신 냈다는 의혹이 제기된 상태다.검찰은 지난 3월 새마을금고가 사모펀드에 거액을 출자하는 과정에서의 비리를 포착하고 수사에 착수했다. 지난 6월에는 새마을금고중앙회에서 펀드 자금 출자를 알선해 주는 대가로 금품을 받은 혐의의 캐피털 업체 부사장과 새마을금고중앙회 기업부 차장이 구속 기소됐다. 이들은 모두 박 회장의 측근으로 알려졌다.검찰은 이 과정에서 박 회장이 억대의 뒷돈을 받은 것으로 보고 수사를 진행해 왔다. 이후 금품 수수 혐의 정황을 포착해 지난 3일 박 회장을 피의자 신분으로 소환 조사했다. 이후 이튿날인 4일 박 회장 구속영장을 청구했다.하지만 법원은 지난 8일 ""지금까지 수집된 객관적 증거에 의하면 범죄 사실 중 상당 부분 혐의가 어느 정도 소명된다고 보인다""며 검찰의 영장 청구를 기각했다.아울러 ""박 회장에 대한 범죄 사실 상당 부분은 공여자인 류혁 새마을금고중앙회 신용공제 대표이사 등의 자수와 진술이 결정적인 단서""라며, ""자수 진술 또는 기존 진술의 번복 시점, 그리고 류혁 자신이 기존에 다투고 있던 다른 범죄 사실에 대한 진술의 번복 여부 등에 비춰봤을 때, 박 회장에게도 방어권을 보장할 필요가 있어 보인다""고 기각 사유를 전했다．
]"
